index,learning_rate,batch_size,num_unit,auc,epochs,activation,dropout_rate,initilizer,num_layers,momentum,optimizer
28133,0.01,500,512,0.5245213047755998,1,softsign,0,normal,2,0,SGD
30327,0.01,100,10,0.5245213047755998,50,softsign,0.5,normal,5,0,SGD
7673,0.001,500,256,0.5245023840157421,50,softsign,0.5,uniform,5,0,SGD
22192,0.001,200,5,0.5245023840157421,50,selu,0.7,normal,2,0,SGD
4325,0.001,500,5,0.524502384015742,1,relu,0.7,he_uniform,2,0,SGD
1610,0.001,50,256,0.5244834632558844,1,relu,0.1,normal,5,0,SGD
3104,0.001,50,512,0.5244834632558844,20,relu,0.5,uniform,5,0,SGD
11502,0.001,1000,2048,0.5244834632558844,1,tanh,0.1,he_uniform,5,0,SGD
14567,0.001,500,256,0.5244834632558844,100,sigmoid,0,uniform,2,0,SGD
16945,0.001,20,2048,0.5244834632558844,1,sigmoid,0.5,uniform,2,0,SGD
23237,0.01,500,512,0.5244834632558844,1,relu,0,lecun_uniform,2,0,SGD
41120,0.01,50,512,0.5244834632558844,20,sigmoid,0.7,uniform,5,0,SGD
22779,0.001,100,5,0.5244645424960267,1,selu,0.7,he_uniform,5,0,SGD
16932,0.001,1000,512,0.5244456217361689,20,sigmoid,0.5,uniform,5,0,SGD
39297,0.01,100,100,0.5244456217361689,20,sigmoid,0.5,lecun_uniform,5,0,SGD
25768,0.01,200,100,0.5244267009763113,50,relu,0.5,normal,5,0,SGD
14287,0.001,20,256,0.5244267009763112,20,sigmoid,0,normal,5,0,SGD
14632,0.001,200,512,0.5244267009763112,50,sigmoid,0,uniform,5,0,SGD
5418,0.001,1000,512,0.5244077802164535,50,softsign,0,uniform,5,0,SGD
7561,0.001,20,10,0.5244077802164535,1,softsign,0.5,uniform,5,0,SGD
8673,0.001,100,5,0.5244077802164535,20,softsign,0.7,uniform,5,0,SGD
22599,0.001,100,100,0.5244077802164535,50,selu,0.7,uniform,5,0,SGD
29415,0.01,100,5,0.5244077802164535,50,softsign,0.1,uniform,5,0,SGD
29463,0.01,100,10,0.5244077802164535,50,softsign,0.1,uniform,5,0,SGD
26097,0.01,100,256,0.5243888594565959,20,relu,0.5,uniform,5,0,SGD
1131,0.001,100,2048,0.5243699386967381,1,relu,0,he_uniform,5,0,SGD
12461,0.001,500,10,0.5243699386967381,1,tanh,0.5,he_uniform,5,0,SGD
22793,0.001,500,5,0.5243699386967381,50,selu,0.7,he_uniform,5,0,SGD
23498,0.01,50,256,0.5243699386967381,1,relu,0,normal,5,0,SGD
39862,0.01,200,100,0.5243699386967381,100,sigmoid,0.5,uniform,2,0,SGD
39259,0.01,20,10,0.5243510179368804,100,sigmoid,0.5,lecun_uniform,5,0,SGD
422,0.001,50,100,0.5243320971770227,50,relu,0,normal,5,0,SGD
1739,0.001,500,5,0.5243320971770227,20,relu,0.1,uniform,2,0,SGD
7356,0.001,1000,256,0.5243320971770227,20,softsign,0.5,normal,2,0,SGD
10745,0.001,500,10,0.5243320971770227,50,tanh,0.1,normal,5,0,SGD
12539,0.001,500,256,0.5243320971770227,20,tanh,0.5,he_uniform,2,0,SGD
19884,0.001,1000,5,0.5243320971770227,20,selu,0.1,normal,2,0,SGD
41062,0.01,200,256,0.5243320971770227,100,sigmoid,0.7,uniform,2,0,SGD
15446,0.001,50,256,0.5243131764171649,50,sigmoid,0.1,normal,5,0,SGD
24846,0.01,1000,10,0.5243131764171649,1,relu,0.1,uniform,5,0,SGD
31485,0.01,100,10,0.5243131764171649,100,softsign,0.7,normal,5,0,SGD
2235,0.001,100,512,0.5242942556573073,1,relu,0.1,he_uniform,5,0,SGD
22764,0.001,1000,5,0.5242942556573073,20,selu,0.7,he_uniform,2,0,SGD
34587,0.01,100,5,0.5242942556573073,1,tanh,0.5,lecun_uniform,5,0,SGD
5082,0.001,1000,256,0.5242942556573071,50,softsign,0,normal,5,0,SGD
10403,0.001,500,5,0.5242942556573071,20,tanh,0.1,lecun_uniform,5,0,SGD
10565,0.001,500,512,0.5242942556573071,1,tanh,0.1,lecun_uniform,2,0,SGD
11833,0.001,20,5,0.5242942556573071,1,tanh,0.5,normal,5,0,SGD
12821,0.001,500,256,0.5242942556573071,1,tanh,0.7,lecun_uniform,2,0,SGD
45068,0.01,50,100,0.5242942556573071,100,selu,0.7,lecun_uniform,5,0,SGD
45253,0.01,20,5,0.5242942556573071,50,selu,0.7,normal,5,0,SGD
7542,0.001,1000,10,0.5242753348974495,1,softsign,0.5,uniform,2,0,SGD
12401,0.001,500,5,0.5242564141375918,50,tanh,0.5,he_uniform,2,0,SGD
22299,0.001,100,100,0.5242564141375918,1,selu,0.7,normal,5,0,SGD
41090,0.01,50,512,0.5242564141375918,1,sigmoid,0.7,uniform,2,0,SGD
9131,0.001,500,512,0.5242564141375917,20,softsign,0.7,he_uniform,2,0,SGD
19106,0.001,50,100,0.5242564141375917,1,selu,0,uniform,2,0,SGD
2959,0.001,20,10,0.5242374933777341,20,relu,0.5,uniform,5,0,SGD
6077,0.001,500,5,0.5242374933777341,1,softsign,0.1,normal,5,0,SGD
34888,0.01,200,5,0.5242374933777341,50,tanh,0.5,normal,5,0,SGD
42948,0.01,1000,5,0.5242374933777341,20,selu,0.1,normal,5,0,SGD
10946,0.001,50,5,0.5242185726178764,1,tanh,0.1,uniform,2,0,SGD
25133,0.01,500,10,0.5242185726178763,1,relu,0.1,he_uniform,5,0,SGD
31522,0.01,200,100,0.5242185726178763,20,softsign,0.7,normal,5,0,SGD
31899,0.01,100,512,0.5241807310981609,1,softsign,0.7,uniform,5,0,SGD
36755,0.01,500,256,0.5241807310981609,20,tanh,0.7,he_uniform,5,0,SGD
22218,0.001,1000,5,0.5241618103383032,50,selu,0.7,normal,5,0,SGD
17706,0.001,1000,100,0.5241618103383031,50,sigmoid,0.7,normal,5,0,SGD
39051,0.01,100,256,0.5241618103383031,1,sigmoid,0.1,he_uniform,5,0,SGD
3253,0.001,20,10,0.5241428895784456,50,relu,0.5,he_uniform,5,0,SGD
11560,0.001,200,5,0.5241428895784455,50,tanh,0.5,lecun_uniform,5,0,SGD
12758,0.001,50,10,0.5241428895784455,50,tanh,0.7,lecun_uniform,5,0,SGD
20345,0.001,500,256,0.5241428895784455,50,selu,0.1,uniform,5,0,SGD
28273,0.01,20,10,0.5241428895784455,1,softsign,0,uniform,2,0,SGD
28661,0.01,500,256,0.5241050480587301,1,softsign,0,he_uniform,2,0,SGD
7758,0.001,1000,2048,0.5241050480587299,1,softsign,0.5,uniform,5,0,SGD
40096,0.01,200,10,0.5241050480587299,50,sigmoid,0.5,he_uniform,2,0,SGD
15483,0.001,100,512,0.5240861272988724,1,sigmoid,0.1,normal,5,0,SGD
37454,0.01,50,5,0.5240861272988724,50,sigmoid,0,uniform,2,0,SGD
41200,0.01,200,5,0.5240861272988724,50,sigmoid,0.7,he_uniform,2,0,SGD
24947,0.01,500,256,0.5240861272988723,20,relu,0.1,uniform,5,0,SGD
1889,0.001,500,256,0.5240672065390146,50,relu,0.1,uniform,2,0,SGD
7396,0.001,200,512,0.5240672065390146,1,softsign,0.5,normal,2,0,SGD
13115,0.001,500,256,0.5240672065390146,20,tanh,0.7,normal,2,0,SGD
15845,0.001,500,5,0.5240672065390146,1,sigmoid,0.1,he_uniform,2,0,SGD
19518,0.001,1000,512,0.5240672065390146,1,selu,0,he_uniform,5,0,SGD
27000,0.01,1000,512,0.5240672065390146,100,relu,0.7,normal,2,0,SGD
38040,0.01,1000,5,0.5240672065390146,100,sigmoid,0.1,lecun_uniform,2,0,SGD
44717,0.01,500,10,0.5240672065390146,1,selu,0.5,he_uniform,5,0,SGD
41168,0.01,50,2048,0.5240672065390145,20,sigmoid,0.7,uniform,5,0,SGD
1952,0.001,50,512,0.524048285779157,20,relu,0.1,uniform,5,0,SGD
6425,0.001,500,10,0.5240482857791569,50,softsign,0.1,uniform,5,0,SGD
32582,0.01,50,5,0.5240482857791569,50,tanh,0,normal,5,0,SGD
8152,0.001,200,10,0.5240293650192992,50,softsign,0.7,lecun_uniform,5,0,SGD
12315,0.001,100,512,0.5240293650192992,1,tanh,0.5,uniform,5,0,SGD
15615,0.001,100,10,0.5240293650192992,50,sigmoid,0.1,uniform,2,0,SGD
17346,0.001,1000,10,0.5240293650192992,50,sigmoid,0.7,lecun_uniform,2,0,SGD
4609,0.001,20,5,0.5240293650192991,1,softsign,0,lecun_uniform,2,0,SGD
14968,0.001,200,2048,0.5240104442594413,50,sigmoid,0,he_uniform,5,0,SGD
1133,0.001,500,2048,0.5239915234995838,1,relu,0,he_uniform,5,0,SGD
11041,0.001,20,100,0.5239915234995838,1,tanh,0.1,uniform,2,0,SGD
16630,0.001,200,512,0.5239915234995838,100,sigmoid,0.5,normal,2,0,SGD
26644,0.01,200,256,0.5239915234995838,1,relu,0.7,lecun_uniform,2,0,SGD
46563,0.1,100,512,0.5239915234995838,1,relu,0,normal,2,0,SGD
16679,0.001,500,2048,0.5239915234995837,100,sigmoid,0.5,normal,2,0,SGD
3478,0.001,200,5,0.523972602739726,100,relu,0.7,lecun_uniform,2,0,SGD
14671,0.001,20,2048,0.523972602739726,20,sigmoid,0,uniform,5,0,SGD
15717,0.001,100,256,0.523972602739726,100,sigmoid,0.1,uniform,2,0,SGD
27451,0.01,20,10,0.523972602739726,100,relu,0.7,he_uniform,5,0,SGD
37212,0.01,1000,10,0.523972602739726,20,sigmoid,0,normal,2,0,SGD
4266,0.001,1000,512,0.5239536819798682,50,relu,0.7,uniform,5,0,SGD
9158,0.001,50,512,0.5239536819798682,50,softsign,0.7,he_uniform,5,0,SGD
22512,0.001,1000,5,0.5239536819798682,100,selu,0.7,uniform,5,0,SGD
22902,0.001,1000,256,0.5239536819798682,1,selu,0.7,he_uniform,2,0,SGD
31467,0.01,100,10,0.5239536819798682,1,softsign,0.7,normal,5,0,SGD
48794,0.1,50,100,0.5239536819798682,1,relu,0.5,normal,5,0,SGD
18380,0.001,50,512,0.5239347612200106,100,sigmoid,0.7,he_uniform,5,0,SGD
1916,0.001,50,256,0.5239158404601529,100,relu,0.1,uniform,5,0,SGD
5596,0.001,200,100,0.5239158404601529,1,softsign,0,he_uniform,5,0,SGD
15045,0.001,100,10,0.5239158404601529,100,sigmoid,0.1,lecun_uniform,2,0,SGD
16274,0.001,50,256,0.5239158404601529,1,sigmoid,0.5,lecun_uniform,2,0,SGD
17553,0.001,100,2048,0.5239158404601529,20,sigmoid,0.7,lecun_uniform,5,0,SGD
38149,0.01,20,100,0.5239158404601529,50,sigmoid,0.1,lecun_uniform,5,0,SGD
3644,0.001,50,256,0.5239158404601528,100,relu,0.7,lecun_uniform,5,0,SGD
5075,0.001,500,256,0.5239158404601528,20,softsign,0,normal,5,0,SGD
13140,0.001,1000,256,0.5239158404601528,20,tanh,0.7,normal,5,0,SGD
28683,0.01,100,256,0.5239158404601528,1,softsign,0,he_uniform,5,0,SGD
32358,0.01,1000,100,0.5239158404601528,1,tanh,0,lecun_uniform,2,0,SGD
5254,0.001,200,10,0.5238969197002952,100,softsign,0,uniform,2,0,SGD
37537,0.01,20,100,0.5238969197002952,1,sigmoid,0,uniform,2,0,SGD
38723,0.01,500,100,0.5238969197002952,20,sigmoid,0.1,uniform,5,0,SGD
1548,0.001,1000,100,0.5238779989404375,20,relu,0.1,normal,2,0,SGD
2746,0.001,200,256,0.5238779989404374,20,relu,0.5,normal,2,0,SGD
2978,0.001,50,100,0.5238779989404374,1,relu,0.5,uniform,2,0,SGD
14257,0.001,20,256,0.5238779989404374,1,sigmoid,0,normal,2,0,SGD
37005,0.01,100,100,0.5238779989404374,100,sigmoid,0,lecun_uniform,5,0,SGD
41009,0.01,500,100,0.5238779989404374,50,sigmoid,0.7,uniform,2,0,SGD
41057,0.01,500,256,0.5238779989404374,50,sigmoid,0.7,uniform,2,0,SGD
11037,0.001,100,10,0.5238590781805798,100,tanh,0.1,uniform,5,0,SGD
41451,0.01,100,2048,0.5238590781805798,1,sigmoid,0.7,he_uniform,5,0,SGD
8210,0.001,50,256,0.5238401574207221,1,softsign,0.7,lecun_uniform,2,0,SGD
7339,0.001,20,100,0.523840157420722,100,softsign,0.5,normal,5,0,SGD
18155,0.001,500,5,0.523840157420722,20,sigmoid,0.7,he_uniform,2,0,SGD
23507,0.01,500,256,0.523840157420722,20,relu,0,normal,5,0,SGD
26159,0.01,500,512,0.523840157420722,100,relu,0.5,uniform,5,0,SGD
32010,0.01,1000,5,0.523840157420722,50,softsign,0.7,he_uniform,5,0,SGD
40994,0.01,50,100,0.523840157420722,1,sigmoid,0.7,uniform,2,0,SGD
17907,0.001,100,10,0.5238212366608643,1,sigmoid,0.7,uniform,2,0,SGD
1324,0.001,200,256,0.5238023159010066,1,relu,0.1,lecun_uniform,5,0,SGD
2738,0.001,50,256,0.5238023159010066,1,relu,0.5,normal,2,0,SGD
7289,0.001,500,10,0.5238023159010066,50,softsign,0.5,normal,5,0,SGD
9348,0.001,1000,100,0.5238023159010066,20,tanh,0,lecun_uniform,5,0,SGD
15420,0.001,1000,256,0.5238023159010066,20,sigmoid,0.1,normal,2,0,SGD
17560,0.001,200,2048,0.5238023159010066,50,sigmoid,0.7,lecun_uniform,5,0,SGD
18750,0.001,1000,5,0.5237833951411489,1,selu,0,normal,5,0,SGD
25205,0.01,500,256,0.5237644743812913,1,relu,0.1,he_uniform,2,0,SGD
3807,0.001,100,10,0.5237644743812911,50,relu,0.7,normal,2,0,SGD
31970,0.01,50,5,0.5237644743812911,1,softsign,0.7,he_uniform,2,0,SGD
36794,0.01,50,512,0.5237644743812911,1,tanh,0.7,he_uniform,5,0,SGD
37563,0.01,100,100,0.5237455536214335,1,sigmoid,0,uniform,5,0,SGD
1666,0.001,200,512,0.5237266328615757,20,relu,0.1,normal,5,0,SGD
4722,0.001,1000,100,0.5237266328615757,50,softsign,0,lecun_uniform,2,0,SGD
8988,0.001,1000,10,0.5237266328615757,20,softsign,0.7,he_uniform,2,0,SGD
13618,0.001,200,10,0.5237266328615757,20,tanh,0.7,he_uniform,5,0,SGD
31299,0.01,100,512,0.5237266328615757,1,softsign,0.7,lecun_uniform,2,0,SGD
40899,0.01,100,5,0.5237266328615757,1,sigmoid,0.7,uniform,2,0,SGD
27196,0.01,200,100,0.523707712101718,1,relu,0.7,uniform,5,0,SGD
41028,0.01,1000,100,0.523707712101718,20,sigmoid,0.7,uniform,5,0,SGD
10964,0.001,50,5,0.5236887913418604,100,tanh,0.1,uniform,2,0,SGD
3408,0.001,1000,512,0.5236887913418603,100,relu,0.5,he_uniform,5,0,SGD
8002,0.001,200,512,0.5236887913418603,20,softsign,0.5,he_uniform,5,0,SGD
8496,0.001,1000,100,0.5236887913418603,100,softsign,0.7,normal,5,0,SGD
30341,0.01,500,100,0.5236887913418603,1,softsign,0.5,normal,2,0,SGD
