index,batch_size,activation,learning_rate,num_layers,units,auc,optimizer,epochs
319,200,relu,0.001,2,1024,0.8536479225005675,Adam,10
321,100,relu,0.001,5,1024,0.8533830318625597,Adam,10
481,200,selu,0.2,2,1024,0.8532884280632711,SGD,10
139,200,sigmoid,0.001,2,512,0.8532505865435556,Adam,10
232,200,selu,0.001,5,512,0.8531370619844093,Adam,10
734,50,selu,0.01,5,2048,0.8529100128661168,SGD,10
412,200,sigmoid,0.001,5,1024,0.852682963747824,Adam,10
201,100,selu,0.1,2,512,0.8526072807083933,SGD,10
323,50,relu,0.001,9,1024,0.8523991523499584,Adam,10
465,100,selu,0.01,5,1024,0.852228865511239,SGD,10
739,200,selu,0.01,9,2048,0.8521910239915236,SGD,10
193,200,selu,0.01,2,512,0.8520018163929463,SGD,10
741,100,selu,0.1,2,2048,0.8518882918338001,SGD,10
461,50,selu,0.01,2,1024,0.8518504503140847,SGD,10
230,50,selu,0.001,5,512,0.8517180049950805,Adam,10
731,50,selu,0.01,2,2048,0.8515287973965034,SGD,10
320,50,relu,0.001,5,1024,0.8514720351169304,Adam,10
737,50,selu,0.01,9,2048,0.8510179368803451,SGD,10
587,50,relu,0.001,2,2048,0.8505259971240445,Adam,10
472,200,selu,0.1,2,1024,0.8499772950881708,SGD,10
200,50,selu,0.1,2,512,0.8494664345720123,SGD,10
23,50,relu,0.1,5,512,0.8494096722924392,SGD,10
210,100,selu,0.2,2,512,0.8484636342995535,SGD,10
497,50,selu,0.001,2,1024,0.8482744267009764,Adam,10
27,100,relu,0.1,9,512,0.8481987436615455,SGD,10
194,50,selu,0.01,5,512,0.8471202603496557,SGD,10
14,50,relu,0.01,5,512,0.8470067357905093,SGD,10
592,200,relu,0.001,5,2048,0.8466093998334974,Adam,10
35,50,relu,0.2,9,512,0.8461931431166275,SGD,10
769,200,selu,0.001,2,2048,0.8438658896541286,Adam,10
235,200,selu,0.001,9,512,0.8432036630591084,Adam,10
36,100,relu,0.2,9,512,0.8429576931809583,SGD,10
591,100,relu,0.001,5,2048,0.8426738817830923,Adam,10
722,50,selu,0.001,2,2048,0.8425792779838039,SGD,10
553,200,relu,0.01,2,2048,0.8424657534246575,SGD,10
590,50,relu,0.001,5,2048,0.8422576250662226,Adam,10
595,200,relu,0.001,9,2048,0.8416521607507759,Adam,10
735,100,selu,0.01,5,2048,0.8376598804207978,SGD,10
282,100,relu,0.01,2,1024,0.8373571482630743,SGD,10
729,100,selu,0.001,9,2048,0.8364867933096193,SGD,10
33,100,relu,0.2,5,512,0.8359570120336033,SGD,10
736,200,selu,0.01,5,2048,0.8359191705138879,SGD,10
728,50,selu,0.001,9,2048,0.8347460834027095,SGD,10
199,200,selu,0.01,9,512,0.8324377507000681,SGD,10
723,100,selu,0.001,2,2048,0.8300537349579958,SGD,10
26,50,relu,0.1,9,512,0.8278210852947855,SGD,10
726,100,selu,0.001,5,2048,0.8275940361764929,SGD,10
196,200,selu,0.01,5,512,0.8260046923484448,SGD,10
452,50,selu,0.001,2,1024,0.8239990918035268,SGD,10
182,50,selu,0.001,2,512,0.8232801029289336,SGD,10
585,100,relu,0.5,9,2048,0.8226746386134868,SGD,10
742,200,selu,0.1,2,2048,0.8225611140543404,SGD,10
727,200,selu,0.001,5,2048,0.8210474532657231,SGD,10
110,50,sigmoid,0.1,2,512,0.8205555135094226,SGD,10
724,200,selu,0.001,2,2048,0.8127601604480437,SGD,10
284,50,relu,0.01,5,1024,0.8103004616665406,SGD,10
12,100,relu,0.01,2,512,0.810262620146825,SGD,10
307,200,relu,0.2,9,1024,0.8101869371073943,SGD,10
456,100,selu,0.001,5,1024,0.8068568833724362,SGD,10
458,50,selu,0.001,9,1024,0.8027321577234541,SGD,10
28,200,relu,0.1,9,512,0.7886551123893135,SGD,10
185,50,selu,0.001,5,512,0.7880874895935821,SGD,10
188,50,selu,0.001,9,512,0.7851736925754937,SGD,10
555,100,relu,0.01,5,2048,0.7848709604177705,SGD,10
593,50,relu,0.001,9,2048,0.7847385150987665,Adam,10
453,100,selu,0.001,2,1024,0.7826761522742753,SGD,10
542,50,relu,0.001,2,2048,0.7800272458941951,SGD,10
316,200,relu,0.5,9,1024,0.7799515628547642,SGD,10
183,100,selu,0.001,2,512,0.7744645424960266,SGD,10
459,100,selu,0.001,9,1024,0.7731400893059865,SGD,10
57,100,relu,0.01,2,512,0.7681071671838341,Adam,10
186,100,selu,0.001,5,512,0.7656096268826156,SGD,10
298,200,relu,0.1,9,1024,0.7635283432982668,SGD,10
204,100,selu,0.1,5,512,0.7596306667675774,SGD,10
283,200,relu,0.01,2,1024,0.7595171422084311,SGD,10
730,200,selu,0.001,9,2048,0.757795353061379,SGD,10
